연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
1,수출,수출상담회,수출 > 수출상담회,서울특별시,2021년 산업재 전문무역상사-제조기업 매칭 온라인 화상상담회 실시,한국무역협회,2021-04-29,2021-04-29,2021-03-31
2,수출,세미나/포럼,수출 > 세미나/포럼,경기도,2021년 LA 총영사관 주재 e-Commerce 마케팅 및 온라인 세미나 실시,경기도청,2021-04-01,2021-04-01,2021-03-31
3,경영,세미나/포럼,경영 > 세미나/포럼,경기도,[경기] 2021년 중소기업 바우처 사전상담 신청 안내,경기벤처기업협회,2021-03-31,2021-04-30,2021-03-31
4,창업,사업설명회,창업 > 사업설명회,서울특별시,2021년 예비창업패키지 소셜벤처 분야 모집 설명회 실시,벤처기업협회,2021-04-05,2021-04-08,2021-03-31
5,창업,사업설명회,창업 > 사업설명회,제주특별자치도,[제주] 2021년 사회적기업 사업보고서 작성 및 자율경영공시 설명회 안내,제주사회적경제네트워크,2021-04-09,2021-04-09,2021-03-31
6,경영,사업설명회,경영 > 사업설명회,대구광역시,[대구] 2021년 초기창업패키지 사업설명회 안내,창조경제혁신센터,2021-04-02,2021-04-09,2021-03-31
7,경영,세미나/포럼,경영 > 세미나/포럼,경기도,[경기] 화성시 2021년 제154차 화성경제인포럼 안내,대한상공회의소,2021-04-13,2021-04-14,2021-03-30
8,경영,사업설명회,경영 > 사업설명회,경상남도,[경남] 2021년 (예비)사회적기업 인ㆍ지정 및 재정지원 설명회 안내,모두의경제 사회적협동조합,2021-04-07,2021-04-07,2021-03-30
9,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 EU 주요 통상정책과 대응방안 웨비나 안내,한국무역협회,2021-04-22,2021-04-22,2021-03-30
10,인력,교육,인력 > 교육,서울특별시,2021년 2분기 지식재산권 무료 초청 교육 실시,특허청,2021-06-25,2021-06-25,2021-03-30
11,수출,교육,수출 > 교육,전라북도,[전북] 2021년 1차 중점업종 한-중 FTA 활용 중국 진출전략 설명회 안내,전라북도수출지원사업관리시스템,2021-04-01,2021-04-01,2021-03-30
12,창업,세미나/포럼,창업 > 세미나/포럼,대전광역시,2021년 기술융합 소셜벤처를 위한 공공기술 연계지원 포럼 안내,창조경제혁신센터,2021-04-02,2021-04-02,2021-03-30
13,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 KOICA 리턴 프로그램 사업 설명회 안내,한국사회적기업진흥원,2021-03-29,2021-04-12,2021-03-30
14,인력,세미나/포럼,인력 > 세미나/포럼,대전광역시,한국생명공학연구원 2021년 플라스틱 환경이슈 포럼 안내,한국전기연구원,2021-04-15,2021-04-16,2021-03-29
